TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
ME|66628461:1|33985436:1|46848174:1|27236426:1|75143268:1|66291895:1|77303051:1|75796103:1|55293472:1|73707584:1|9022327:1|55261892:1|45688081:1|75928460:1|14868858:1|37056082:1|50198868:1|27695929:1|49206827:1|44368102:1|13068632:1|21891809:1|63458573:1|67710289:1|40855879:1|45234557:1|49697361:1|14393996:1|5934741:1|52910871:1|26777177:1|23246268:1|5868477:1|17789386:1|20910852:1|77980211:1|16166090:1|53697054:1|39217941:1|69359714:1|36259704:1|39810082:1|35000709:1|44723916:1|20269341:1|50762915:1|16881679:1|73307243:1|71928709:1|22949214:1
EE|11485613:2|14012562:1|50499270:1|33608351:1|63504506:1|6333839:1|67046259:1|70199738:1|45398237:1|40948511:1|57579559:1|16711211:1|22006411:1|51615814:1|4793182:1|33233804:1|43195727:1|23219424:1|77413251:1|36667802:1|38467490:1|54458537:1|36582996:1|44333656:1|15161926:1|34309482:1|15388984:1|785237:1|79475178:1|61121995:1|24238740:1|6099853:1|25266620:1|69086624:1|1542312:1|71696536:1|75954186:1|467913:1|61931199:1|3615815:1|24869231:1|76652772:1|2436305:1|43371099:1|3536165:1|630884:1|1033437:1|230529:1|19881612:1|64066096:1
TJ|5609294:1|50648536:1|18094427:1|14253613:1|18923733:1|35767921:1|39045458:1|9974145:1|65081146:1|18542470:1|3412861:1|13238901:1|63648596:1|33563525:1|18282860:1|23481655:1|62351784:1|32076466:1|66954801:1|32081659:1|79906095:1|77387872:1|27661813:1|17924293:1|15089569:1|51572622:1|61906990:1|26016120:1|29767835:1|36059379:1|69065574:1|57347809:1|10002122:1|77419241:1|33803547:1|31105864:1|21905955:1|31418645:1|57466580:1|10717056:1|14474655:1|461493:1|42514124:1|72654883:1|76831193:1|70663410:1|50360156:1|56172131:1|60734719:1|2368621:1
GQ|73165598:1|20332952:1|54444708:1|44220712:1|21022274:1|14846807:1|7857279:1|19879466:1|40488793:1|53538641:1|74672661:1|15670161:1|56226395:1|15059174:1|6104629:1|25732837:1|19337720:1|53071011:1|7974633:1|26787521:1|24962976:1|43883223:1|18853783:1|36002201:1|74758667:1|49799390:1|4575862:1|41643490:1|51304458:1|15786159:1|26775237:1|52202731:1|63708465:1|63631665:1|27044677:1|52560164:1|59527131:1|4341265:1|74333776:1|47360632:1|37624933:1|26405789:1|56315639:1|77275396:1|10263279:1|49038292:1|60330238:1|25559404:1|35530284:1|40623006:1
GB|28297541:1|22649306:1|52107041:1|28105282:1|61726874:1|40890005:1|11798061:1|22187741:1|70325632:1|30597554:1|34496105:1|15401797:1|36843877:1|11333073:1|59108945:1|15217474:1|34227632:1|49748308:1|61127366:1|9116811:1|75660069:1|32002337:1|20610616:1|4341861:1|61579867:1|55320046:1|10836257:1|46156908:1|7525884:1|9265278:1|10688610:1|70400060:1|38304348:1|67905941:1|11467134:1|55261984:1|27793437:1|75675444:1|62019577:1|60971483:1|76439137:1|52517823:1|5433574:1|25356685:1|29187415:1|11469702:1|18906396:1|13747393:1|68225995:1|32222274:1
BD|44698938:1|5863477:1|22392591:1|22140182:1|7862142:1|45340933:1|20046022:1|74058170:1|78016933:1|76004062:1|56040666:1|56803724:1|79984752:1|51386581:1|30628464:1|31314633:1|8525443:1|59675388:1|48211768:1|16614004:1|23233138:1|23900802:1|10327149:1|47761714:1|44850497:1|68352918:1|62219784:1|10360070:1|27820706:1|16665178:1|15207840:1|75275591:1|54337262:1|11734407:1|60403164:1|26402636:1|3163097:1|27738510:1|54998322:1|19432467:1|72317329:1|64502928:1|63299596:1|52517949:1|59691071:1|5504900:1|59536289:1|63610966:1|39596181:1|29088080:1
BT|38086156:1|61567086:1|55555324:1|45827639:1|44965367:1|70618324:1|18292222:1|15479389:1|59373017:1|51578528:1|6571424:1|52309468:1|2746657:1|63981087:1|1257119:1|78943230:1|69515788:1|58468249:1|2814757:1|39521469:1|4917206:1|75666467:1|50371576:1|76414719:1|30224492:1|6257092:1|39690353:1|61720657:1|178782:1|2542043:1|23004866:1|41484399:1|57659187:1|11705881:1|54293297:1|27367952:1|69523860:1|27614083:1|28848398:1|58645794:1|34069341:1|15674731:1|22296845:1|3003271:1|35930766:1|17668530:1|77973457:1|72300739:1|5454892:1|63142627:1
CG|24990814:2|70287173:1|25975980:1|20247177:1|24510433:1|72454753:1|76303507:1|56854034:1|35048292:1|3552623:1|9481749:1|282278:1|21285853:1|54570388:1|79675587:1|50263269:1|8052534:1|42481051:1|2350732:1|48229580:1|2071494:1|67353091:1|57984208:1|12783177:1|36605325:1|47036291:1|64988433:1|43113436:1|65478073:1|70101669:1|60760945:1|47605849:1|52582716:1|64814629:1|61190207:1|1373076:1|16073608:1|2229434:1|43851906:1|13729378:1|32997760:1|76344145:1|30428973:1|46790668:1|69617389:1|35976306:1|5406642:1|40343344:1|38232610:1|36791910:1
TO|9681869:1|31175218:1|5218885:1|36411896:1|77367983:1|27212133:1|49445013:1|38923716:1|5788834:1|23779665:1|4730511:1|75908374:1|63143006:1|15996631:1|57496857:1|72108141:1|28912996:1|45802907:1|55567484:1|36550316:1|20209105:1|78829951:1|21327601:1|55222971:1|60546662:1|65463618:1|645030:1|33304889:1|16558824:1|67676884:1|64513723:1|71398261:1|58307043:1|34339831:1|26968694:1|53155520:1|60108701:1|9032329:1|37792274:1|48769416:1|69560500:1|35908380:1|58995870:1|78776929:1|15516641:1|52462086:1|231082:1|16359390:1|44205817:1|16546221:1
EC|57609983:1|12814397:1|20288984:1|76342913:1|63553281:1|47661319:1|14303700:1|51438453:1|19992751:1|23830722:1|72553170:1|47489138:1|15827519:1|25600594:1|47908209:1|56728496:1|8391965:1|43655191:1|44766350:1|24990425:1|19528041:1|11662057:1|77825580:1|35220524:1|63500865:1|40689694:1|76184172:1|21951669:1|26260698:1|45015481:1|4408474:1|28566458:1|45215057:1|61013012:1|21828196:1|11581369:1|45990773:1|45131605:1|52074677:1|55745237:1|46642669:1|77740885:1|75025075:1|20073844:1|44171067:1|42819492:1|54069603:1|52494939:1|58088587:1|12482191:1
